133690_BuyAndHold,133690_BuyAndHold,133690_BuyAndHold,133690_BuyAndHold,133690_DCAAndHold,133690_DCAAndHold,133690_DCAAndHold,133690_DCAAndHold,133690_DCASellOnProfit,133690_DCASellOnProfit,133690_DCASellOnProfit,133690_DCASellOnProfit,133690_DCASellOnProfit,133690_MonthlyDCA,133690_MonthlyDCA,133690_MonthlyDCA,133690_MonthlyDCA,379800_BuyAndHold,379800_BuyAndHold,379800_BuyAndHold,379800_BuyAndHold,379800_DCAAndHold,379800_DCAAndHold,379800_DCAAndHold,379800_DCAAndHold,379800_DCASellOnProfit,379800_DCASellOnProfit,379800_DCASellOnProfit,379800_DCASellOnProfit,379800_DCASellOnProfit,379800_MonthlyDCA,379800_MonthlyDCA,379800_MonthlyDCA,379800_MonthlyDCA
date,remaining_capital,shares_held,total_value,date,remaining_capital,shares_held,total_value,date,remaining_capital,shares_held,total_value,holding_count,date,remaining_capital,shares_held,total_value,date,remaining_capital,shares_held,total_value,date,remaining_capital,shares_held,total_value,date,remaining_capital,shares_held,total_value,holding_count,date,remaining_capital,shares_held,total_value
2019-02-19,5254.4000000003725,320,11159494.4,2019-02-19,8008153.85,61,10134430.85,2019-02-19,8926573.69,29,9937426.69,1,2019-02-19,9934546.709999999,2,10004260.709999999,2021-05-26,9491.01000000164,979.0,10071653.010000002,2021-05-26,8017630.904999999,192.0,9991006.905,2021-05-26,8017630.904999999,192.0,9991006.905,2.0,2021-05-26,9979347.795,2.0,9999903.795
2019-02-20,5254.4000000003725,320,11164294.4,2019-02-20,8008153.85,61,10135345.85,2019-02-20,8926573.69,29,9937861.69,1,2019-02-20,9934546.709999999,2,10004290.709999999,2021-05-27,9491.01000000164,979.0,10052073.010000002,2021-05-27,8017630.904999999,192.0,9987166.905,2021-05-27,8017630.904999999,192.0,9987166.905,2.0,2021-05-27,9979347.795,2.0,9999863.795
2019-02-21,5254.4000000003725,320,11149254.4,2019-02-21,8008153.85,61,10132478.85,2019-02-21,8926573.69,29,9936498.69,1,2019-02-21,9934546.709999999,2,10004196.709999999,2021-05-28,9491.01000000164,979.0,10081443.010000002,2021-05-28,8017630.904999999,192.0,9992926.905,2021-05-28,8017630.904999999,192.0,9992926.905,2.0,2021-05-28,9979347.795,2.0,9999923.795
2019-02-22,5254.4000000003725,320,11083974.4,2019-02-22,8008153.85,61,10120034.85,2019-02-22,8926573.69,29,9930582.69,1,2019-02-22,9934546.709999999,2,10003788.709999999,2021-05-31,9491.01000000164,979.0,10037388.010000002,2021-05-31,8017630.904999999,192.0,9984286.905,2021-05-31,8017630.904999999,192.0,9984286.905,2.0,2021-05-31,9979347.795,2.0,9999833.795
2019-02-25,5254.4000000003725,320,11208454.4,2019-02-25,8008153.85,61,10143763.85,2019-02-25,8926573.69,29,9941863.69,1,2019-02-25,9934546.709999999,2,10004566.709999999,2021-06-01,9491.01000000164,979.0,9994312.010000002,2021-06-01,7023840.345,288.0,9961152.344999999,2021-06-01,7023840.345,288.0,9961152.344999999,3.0,2021-06-01,9968995.81,3.0,9999592.81
2019-02-26,5254.4000000003725,320,11085574.4,2019-02-26,8008153.85,61,10120339.85,2019-02-26,8926573.69,29,9930727.69,1,2019-02-26,9934546.709999999,2,10003798.709999999,2021-06-02,9491.01000000164,979.0,10037388.010000002,2021-06-02,7023840.345,288.0,9973824.344999999,2021-06-02,7023840.345,288.0,9973824.344999999,3.0,2021-06-02,9968995.81,3.0,9999724.81
2019-02-27,5254.4000000003725,320,11173894.4,2019-02-27,8008153.85,61,10137175.85,2019-02-27,8926573.69,29,9938731.69,1,2019-02-27,9934546.709999999,2,10004350.709999999,2021-06-03,9491.01000000164,979.0,10061863.010000002,2021-06-03,7023840.345,288.0,9981024.344999999,2021-06-03,7023840.345,288.0,9981024.344999999,3.0,2021-06-03,9968995.81,3.0,9999799.81
2019-02-28,5254.4000000003725,320,11152454.4,2019-02-28,8008153.85,61,10133088.85,2019-02-28,8926573.69,29,9936788.69,1,2019-02-28,9934546.709999999,2,10004216.709999999,2021-06-04,9491.01000000164,979.0,10047178.010000002,2021-06-04,7023840.345,288.0,9976704.344999999,2021-06-04,7023840.345,288.0,9976704.344999999,3.0,2021-06-04,9968995.81,3.0,9999754.81
2019-03-04,5254.4000000003725,320,11364934.4,2019-03-04,7035303.755,88,10159215.754999999,2019-03-04,7953723.595,56,9941667.594999999,2,2019-03-04,9898515.225,3,10005012.225,2021-06-07,9491.01000000164,979.0,10081443.010000002,2021-06-07,7023840.345,288.0,9986784.344999999,2021-06-07,7023840.345,288.0,9986784.344999999,3.0,2021-06-07,9968995.81,3.0,9999859.81
2019-03-05,5254.4000000003725,320,11318534.4,2019-03-05,7035303.755,88,10146455.754999999,2019-03-05,7953723.595,56,9933547.594999999,2,2019-03-05,9898515.225,3,10004577.225,2021-06-08,9491.01000000164,979.0,10120603.010000002,2021-06-08,7023840.345,288.0,9998304.344999999,2021-06-08,7023840.345,288.0,9998304.344999999,3.0,2021-06-08,9968995.81,3.0,9999979.81
